,Date,High,Low,Open,Close
0,2020-01-02 00:00:00+00:00,1.122455,1.11637,1.12184,1.11709
1,2020-01-03 00:00:00+00:00,1.11798,1.112515,1.117095,1.11593
3,2020-01-05 00:00:00+00:00,1.11673,1.115995,1.11656,1.116095
4,2020-01-06 00:00:00+00:00,1.12055,1.11573,1.116075,1.119545
5,2020-01-07 00:00:00+00:00,1.11971,1.11337,1.11955,1.11536
6,2020-01-08 00:00:00+00:00,1.11682,1.110285,1.115405,1.11129
7,2020-01-09 00:00:00+00:00,1.11205,1.1093,1.111295,1.11091
8,2020-01-10 00:00:00+00:00,1.112915,1.10853,1.110925,1.112095
10,2020-01-12 00:00:00+00:00,1.11205,1.11153,1.11185,1.11163
11,2020-01-13 00:00:00+00:00,1.114685,1.11127,1.111635,1.11347
12,2020-01-14 00:00:00+00:00,1.114455,1.11046,1.11346,1.11277
13,2020-01-15 00:00:00+00:00,1.11633,1.111875,1.112765,1.115245
14,2020-01-16 00:00:00+00:00,1.117245,1.11281,1.11525,1.11371
15,2020-01-17 00:00:00+00:00,1.114255,1.10864,1.113695,1.109
17,2020-01-19 00:00:00+00:00,1.10945,1.10892,1.109265,1.10945
18,2020-01-20 00:00:00+00:00,1.110235,1.10769,1.10946,1.10963
19,2020-01-21 00:00:00+00:00,1.11179,1.10811,1.109625,1.10852
20,2020-01-22 00:00:00+00:00,1.10983,1.10702,1.108525,1.10957
21,2020-01-23 00:00:00+00:00,1.11086,1.10365,1.10958,1.1055
22,2020-01-24 00:00:00+00:00,1.106165,1.101995,1.10553,1.102525
24,2020-01-26 00:00:00+00:00,1.10339,1.102505,1.10319,1.102505
25,2020-01-27 00:00:00+00:00,1.103755,1.10098,1.102475,1.101945
26,2020-01-28 00:00:00+00:00,1.10251,1.099805,1.10194,1.102215
27,2020-01-29 00:00:00+00:00,1.10277,1.09925,1.10222,1.101385
28,2020-01-30 00:00:00+00:00,1.10392,1.1007,1.101375,1.10289
29,2020-01-31 00:00:00+00:00,1.109535,1.1017,1.10288,1.10945
31,2020-02-02 00:00:00+00:00,1.10936,1.108375,1.10935,1.10892
32,2020-02-03 00:00:00+00:00,1.1089,1.10362,1.1089,1.10623
33,2020-02-04 00:00:00+00:00,1.10641,1.1033,1.10624,1.10448
34,2020-02-05 00:00:00+00:00,1.10478,1.09937,1.104475,1.10003
35,2020-02-06 00:00:00+00:00,1.10138,1.096455,1.10004,1.09809
36,2020-02-07 00:00:00+00:00,1.0985,1.09421,1.09808,1.094555
38,2020-02-09 00:00:00+00:00,1.095035,1.09433,1.09438,1.09493
39,2020-02-10 00:00:00+00:00,1.09575,1.09078,1.094935,1.09103
40,2020-02-11 00:00:00+00:00,1.09247,1.089145,1.091035,1.0919
41,2020-02-12 00:00:00+00:00,1.09256,1.08656,1.091905,1.087525
42,2020-02-13 00:00:00+00:00,1.088875,1.08342,1.087555,1.08416
43,2020-02-14 00:00:00+00:00,1.08612,1.082755,1.08415,1.08312
45,2020-02-16 00:00:00+00:00,1.084165,1.083705,1.084145,1.08413
46,2020-02-17 00:00:00+00:00,1.085095,1.08294,1.084135,1.083685
